brandName,isVariantsWithSamePrice,picturesUrl,categories,hsnCode,inclusiveAllTaxes,picturesPath,productUid,description,gender,hasNoGstNumber,otherTax,productName,storeId,prn,createdOn,storeDetails,tags,variants,addedBy,taxType,isListable,isDeleted
Ronna,1,"[""https://firebasestorage.googleapis.com/v0/b/clothxtest.appspot.com/o/stores%2Fo52ai0cVtcxBPbsS8MuU%2Fproducts%2F1545111967968_cd_18013_1.jpg?alt=media&token=d43d3fca-5df5-4c33-ae7d-cc9d83295467""]","{""category2"":""Full Hand"",""colorCategory"":""Black"",""category1"":""Chudidhar ""}",61,1,"[""stores/o52ai0cVtcxBPbsS8MuU/products/1545111967968_cd_18013_1.jpg""]",0MYZW92xkgaWqeZb3UVD,,Women,1,0,Soch Black and Gold Georgette Chudidhar ,o52ai0cVtcxBPbsS8MuU,lychn,"{""_seconds"":1545111987,""_nanoseconds"":826000000}","{""name"":""Diva Fashion"",""address"":{""city"":""COIMBATORE"",""state"":""TAMIL NADU"",""pinCode"":641001,""street"":""RS PURAM""},""location"":{""_latitude"":10.996940799999999,""_longitude"":76.9581056}}","[""Chudidhar "",""Full Hand"","" Georgette"",""black""]","[{""stock"":16,""purchasedPrice"":500,""objectID"":""0MYZW92xkgaWqeZb3UVD_0"",""sellingPrice"":999,""size"":""m""},{""size"":""l"",""stock"":10,""purchasedPrice"":0,""objectID"":""0MYZW92xkgaWqeZb3UVD_1"",""sellingPrice"":0}]",xYKdM80shFN1HN2eFjdEvH7SabG2,textile,1,
Riva,1,"[""https://firebasestorage.googleapis.com/v0/b/clothxtest.appspot.com/o/stores%2Fo52ai0cVtcxBPbsS8MuU%2Fproducts%2F1545112115878_download.jpg?alt=media&token=f945c97c-da83-4bb9-89d4-e24769259cba""]","{""colorCategory"":""red"",""category1"":""Churidar "",""category2"":""Full Hand""}",61,1,"[""stores/o52ai0cVtcxBPbsS8MuU/products/1545112115878_download.jpg""]",1xozzut27OMhwUbzFnIO,,Women,1,0,Bedazzling Red Silk Embroidery Churidar Suit,o52ai0cVtcxBPbsS8MuU,sjzbh,"{""_seconds"":1545112125,""_nanoseconds"":207000000}","{""name"":""Diva Fashion"",""address"":{""city"":""COIMBATORE"",""state"":""TAMIL NADU"",""pinCode"":641001,""street"":""RS PURAM""},""location"":{""_latitude"":10.996940799999999,""_longitude"":76.9581056}}","[""Churidar "",""Full Hand"",""Bedazzling Red Silk""]","[{""purchasedPrice"":450,""objectID"":""1xozzut27OMhwUbzFnIO_0"",""sellingPrice"":800,""size"":""m"",""stock"":18},{""purchasedPrice"":0,""objectID"":""1xozzut27OMhwUbzFnIO_1"",""sellingPrice"":0,""size"":""l"",""stock"":10}]",xYKdM80shFN1HN2eFjdEvH7SabG2,textile,1,
halsey ,1,[],"{""category1"":""Sports"",""category2"":"""",""colorCategory"":""Black""}",61,1,[],4Mtt3yzorU53KzCIUHMY,black color,Men,1,0,checked lingerie,WFKr9k9nMcjy8IwI7k0X,yckvl,"{""_seconds"":1545547370,""_nanoseconds"":827000000}","{""name"":""halsey "",""address"":{""city"":""coimbatore"",""state"":""tamil nadu"",""pinCode"":641001,""street"":""prakash1729brt@gmail.com""},""location"":{""_latitude"":10.9416207,""_longitude"":76.9583311}}","[""""]","[{""objectID"":""4Mtt3yzorU53KzCIUHMY_0"",""sellingPrice"":5000,""size"":""S"",""stock"":3,""purchasedPrice"":5000}]",cdGWiNGz0hTW5apQkAyN79U6ELN2,textile,,
Seema,1,"[""https://firebasestorage.googleapis.com/v0/b/clothxtest.appspot.com/o/stores%2Fo52ai0cVtcxBPbsS8MuU%2Fproducts%2F1545112757561_1533102934_FTR-PEACHM-PSR2082.jpg?alt=media&token=6bc86313-64c7-42fd-ba9e-9583d593a7ac""]","{""category2"":""casual"",""colorCategory"":""yellow"",""category1"":""Saree""}",61,1,"[""stores/o52ai0cVtcxBPbsS8MuU/products/1545112757561_1533102934_FTR-PEACHM-PSR2082.jpg""]",5JFO2dQ1ASuHg8iwvNpp,,Women,1,0,Yellow Casual Printed Georgette Saree,o52ai0cVtcxBPbsS8MuU,rsrjb,"{""_seconds"":1545112770,""_nanoseconds"":361000000}","{""location"":{""_latitude"":10.996940799999999,""_longitude"":76.9581056},""name"":""Diva Fashion"",""address"":{""city"":""COIMBATORE"",""state"":""TAMIL NADU"",""pinCode"":641001,""street"":""RS PURAM""}}","[""Saree"",""Casuals"",""Georgette Saree "",""yellow""]","[{""purchasedPrice"":700,""objectID"":""5JFO2dQ1ASuHg8iwvNpp_0"",""sellingPrice"":1200,""size"":""no size"",""stock"":8},{""size"":""NO SIZE"",""stock"":20,""purchasedPrice"":0,""objectID"":""5JFO2dQ1ASuHg8iwvNpp_1"",""sellingPrice"":0}]",xYKdM80shFN1HN2eFjdEvH7SabG2,textile,1,
Whitelondon,,"[""https://firebasestorage.googleapis.com/v0/b/clothxtest.appspot.com/o/stores%2FzZwZoN02my5qFH62lcJB%2Fproducts%2F1545479042687_15454790307751363536529.jpg?alt=media&token=ded6e6bb-aa48-40c4-84a4-b03b6981b44c""]","{""category1"":""Casuals"",""category2"":""Full Hand"",""colorCategory"":""SandyBrown""}",61,1,"[""stores/zZwZoN02my5qFH62lcJB/products/1545479042687_15454790307751363536529.jpg""]",61Ke7um3VwYVujzhoY4T,,Men,1,0,Casual shirt,zZwZoN02my5qFH62lcJB,klbyn,"{""_seconds"":1545479081,""_nanoseconds"":939000000}","{""address"":{""city"":""Coimbatore"",""state"":""Tamil Nadu"",""pinCode"":641001,""street"":""4e lingappachetty street""},""location"":{""_latitude"":11.0046445,""_longitude"":76.95769},""name"":""Hanger for legends""}","[""""]","[{""objectID"":""61Ke7um3VwYVujzhoY4T_0"",""sellingPrice"":600,""size"":""Xl"",""stock"":1,""purchasedPrice"":395}]",Fq2r8sud4WOkXPeBu4KsbPwiDyB3,textile,1,
spice,1,"[""https://firebasestorage.googleapis.com/v0/b/clothxtest.appspot.com/o/stores%2FenyMuzrGVEwXM5UaFJyG%2Fproducts%2F1544974149861_ac5f45d5-c0e6-4440-b591-205631cace7c1541409470111-United-Colors-of-Benetton-Men-Shirts-4841541409469988-1.jpg?alt=media&token=6146342f-0001-4d00-b0c8-9c87659d7eed""]","{""category1"":""Casuals"",""category2"":""Full Hand"",""colorCategory"":""Red""}",61,1,"[""stores/enyMuzrGVEwXM5UaFJyG/products/1544974149861_ac5f45d5-c0e6-4440-b591-205631cace7c1541409470111-United-Colors-of-Benetton-Men-Shirts-4841541409469988-1.jpg""]",6w9OCYgczY7bvikRaMLv,,Men,1,0,Slim Fit Checked Casual Shirt,enyMuzrGVEwXM5UaFJyG,smlhq,"{""_seconds"":1544974163,""_nanoseconds"":253000000}","{""location"":{""_latitude"":11.008021699999999,""_longitude"":76.95853369999999},""name"":""Unique Fashion "",""address"":{""city"":""COIMBATORE"",""state"":""TAMIL NADU"",""pinCode"":641001,""street"":""RS PURM""}}","[""Slim Fit"","" Casual Shirt"",""Full Hand""]","[{""purchasedPrice"":400,""objectID"":""6w9OCYgczY7bvikRaMLv_0"",""sellingPrice"":799,""size"":""m"",""stock"":20},{""purchasedPrice"":0,""objectID"":""6w9OCYgczY7bvikRaMLv_1"",""sellingPrice"":0,""size"":""l"",""stock"":10}]",GElR7aDaoYTRwGG2FmRw2Lnen3B3,textile,1,
tommy,1,"[""https://firebasestorage.googleapis.com/v0/b/clothxtest.appspot.com/o/stores%2FenyMuzrGVEwXM5UaFJyG%2Fproducts%2F1544973145011_hol_215458_01_prod1.jpg?alt=media&token=d7f196a1-5b16-4ffe-be73-b96ca9af3582""]","{""category1"":""T-Shirt "",""category2"":""Half Hand"",""colorCategory"":""Blue""}",61,1,"[""stores/enyMuzrGVEwXM5UaFJyG/products/1544973145011_hol_215458_01_prod1.jpg""]",BMMDyMA1YzxFvUMANHI9,,Men,1,0, V-Neck T-Shirt,enyMuzrGVEwXM5UaFJyG,fxcxg,"{""_seconds"":1544973158,""_nanoseconds"":30000000}","{""location"":{""_latitude"":11.008021699999999,""_longitude"":76.95853369999999},""name"":""Unique Fashion "",""address"":{""street"":""RS PURM"",""city"":""COIMBATORE"",""state"":""TAMIL NADU"",""pinCode"":641001}}","["" V-Neck"",""T-Shirt "",""Half Hand""]","[{""stock"":10,""purchasedPrice"":300,""objectID"":""BMMDyMA1YzxFvUMANHI9_0"",""sellingPrice"":599,""size"":""xl""},{""objectID"":""BMMDyMA1YzxFvUMANHI9_1"",""sellingPrice"":0,""size"":""l"",""stock"":20,""purchasedPrice"":0}]",GElR7aDaoYTRwGG2FmRw2Lnen3B3,textile,1,
tommy,1,"[""https://firebasestorage.googleapis.com/v0/b/clothxtest.appspot.com/o/stores%2FenyMuzrGVEwXM5UaFJyG%2Fproducts%2F1544976019877_19ffb8fae9c25dd57a5108322f696814--men-trousers-white-pants.jpg?alt=media&token=6b733b36-ed44-4658-b1a7-6b7c88499633""]","{""category1"":""Formals"",""category2"":""slim fit "",""colorCategory"":""White""}",61,1,"[""stores/enyMuzrGVEwXM5UaFJyG/products/1544976019877_19ffb8fae9c25dd57a5108322f696814--men-trousers-white-pants.jpg""]",CyHM9Zwsu5ejCC4VSVrO,,Men,1,0,Formal White Pants for men ,enyMuzrGVEwXM5UaFJyG,lstmx,"{""_seconds"":1544976029,""_nanoseconds"":140000000}","{""location"":{""_latitude"":11.008021699999999,""_longitude"":76.95853369999999},""name"":""Unique Fashion "",""address"":{""city"":""COIMBATORE"",""state"":""TAMIL NADU"",""pinCode"":641001,""street"":""RS PURM""}}","[""Formals"",""slim fit""]","[{""objectID"":""CyHM9Zwsu5ejCC4VSVrO_0"",""sellingPrice"":1200,""size"":""38"",""stock"":10,""purchasedPrice"":600},{""objectID"":""CyHM9Zwsu5ejCC4VSVrO_1"",""sellingPrice"":0,""size"":""36"",""stock"":15,""purchasedPrice"":0}]",GElR7aDaoYTRwGG2FmRw2Lnen3B3,textile,1,
TOMMY,1,"[""https://firebasestorage.googleapis.com/v0/b/clothxtest.appspot.com/o/stores%2FenyMuzrGVEwXM5UaFJyG%2Fproducts%2F1544972721391_41i2-C9rzCL._SY445_QL70_.jpg?alt=media&token=76061bb2-401a-49fe-86eb-16a07861da75""]","{""category1"":""T shirts"",""category2"":""Full Hand"",""colorCategory"":""Black""}",61,1,"[""stores/enyMuzrGVEwXM5UaFJyG/products/1544972721391_41i2-C9rzCL._SY445_QL70_.jpg""]",DzPieTqAPuhFYvHawEtX,,Men,1,0,T shirts for men,enyMuzrGVEwXM5UaFJyG,kkkqh,"{""_seconds"":1544972730,""_nanoseconds"":186000000}","{""address"":{""city"":""COIMBATORE"",""state"":""TAMIL NADU"",""pinCode"":641001,""street"":""RS PURM""},""location"":{""_latitude"":11.008021699999999,""_longitude"":76.95853369999999},""name"":""Unique Fashion ""}","[""Full Hand"",""T- Shirt"",""round neck""]","[{""size"":""l"",""stock"":20,""purchasedPrice"":250,""objectID"":""DzPieTqAPuhFYvHawEtX_0"",""sellingPrice"":350},{""purchasedPrice"":0,""objectID"":""DzPieTqAPuhFYvHawEtX_1"",""sellingPrice"":0,""size"":""xl"",""stock"":10}]",GElR7aDaoYTRwGG2FmRw2Lnen3B3,textile,1,
virgo,1,"[""https://firebasestorage.googleapis.com/v0/b/clothxtest.appspot.com/o/stores%2FenyMuzrGVEwXM5UaFJyG%2Fproducts%2F1544972855135_jpeg.jpg?alt=media&token=7d22ef29-0682-42f2-b634-ad206d892603""]","{""category2"":""Half Hand"",""colorCategory"":""Blue"",""category1"":""T shirts""}",61,1,"[""stores/enyMuzrGVEwXM5UaFJyG/products/1544972855135_jpeg.jpg""]",ElTLGNVPbevRZhYWMl03,,Men,1,0,T shirts for men,enyMuzrGVEwXM5UaFJyG,rxdkh,"{""_seconds"":1544972894,""_nanoseconds"":375000000}","{""location"":{""_latitude"":11.008021699999999,""_longitude"":76.95853369999999},""name"":""Unique Fashion "",""address"":{""street"":""RS PURM"",""city"":""COIMBATORE"",""state"":""TAMIL NADU"",""pinCode"":641001}}","[""roundneck"",""Half Hand"",""T- Shirt""]","[{""purchasedPrice"":200,""objectID"":""ElTLGNVPbevRZhYWMl03_0"",""sellingPrice"":399,""size"":""l"",""stock"":10},{""stock"":5,""purchasedPrice"":0,""objectID"":""ElTLGNVPbevRZhYWMl03_1"",""sellingPrice"":0,""size"":""xl""}]",GElR7aDaoYTRwGG2FmRw2Lnen3B3,textile,1,
virgo,1,"[""https://firebasestorage.googleapis.com/v0/b/clothxtest.appspot.com/o/stores%2FenyMuzrGVEwXM5UaFJyG%2Fproducts%2F1544975159001_download.jpg?alt=media&token=a6e76f8b-0d0d-4ae4-947a-745ff151b522""]","{""category1"":"" Jeans"",""category2"":""slim fit"",""colorCategory"":""Blue""}",61,1,"[""stores/enyMuzrGVEwXM5UaFJyG/products/1544975159001_download.jpg""]",F56P88AaEMBPDQtAoB3n,,Men,1,0,soft Cotton Stretch Jeans for men,enyMuzrGVEwXM5UaFJyG,nnvjd,"{""_seconds"":1544975192,""_nanoseconds"":770000000}","{""address"":{""city"":""COIMBATORE"",""state"":""TAMIL NADU"",""pinCode"":641001,""street"":""RS PURM""},""location"":{""_latitude"":11.008021699999999,""_longitude"":76.95853369999999},""name"":""Unique Fashion ""}","[""Jeans"",""slim fit""]","[{""purchasedPrice"":400,""objectID"":""F56P88AaEMBPDQtAoB3n_0"",""sellingPrice"":750,""size"":""38"",""stock"":10},{""stock"":19,""purchasedPrice"":0,""objectID"":""F56P88AaEMBPDQtAoB3n_1"",""sellingPrice"":0,""size"":""36""}]",GElR7aDaoYTRwGG2FmRw2Lnen3B3,textile,1,
